Date,Zone_ID,TGBT_ID,Armoire_ID,Machine_ID,Product_ID,Demand,Price,Production_Capacity,Inventory_Level,Order_Backlog,Competitor_Price,Raw_Material_Cost,Labor_Cost,Energy_Cost,Machine_Utilization,Energy_Consumption,Maintenance_History,Failure_Rate,Supply_Chain_Risks,Quality_Control,Financial_Risks,Compliance
2023-01-01,3,101,A2,M1,P2,108,18.421858102882368,467,138,53,5.111805910286685,4.738577807673572,4.869924892403874,3.403767314176158,0.7278149313509515,4270,Routine maintenance,0.045903503735741404,Supplier B bankruptcy risk,0.9470292897286008,0.9320977285097495,Compliant with ISO 9001
2023-01-02,1,103,A3,M3,P2,135,13.511832125144673,418,104,60,18.93111798030501,1.7411405851387283,2.8004397355355612,1.8145912122360048,0.7010719926571952,5387,Replaced faulty component,0.023385090923093772,Supplier B bankruptcy risk,0.9767714585343407,0.9653347817082275,Compliant with ISO 9001
2023-01-03,1,103,A1,M1,P1,116,8.888003991651026,522,151,79,8.496169915876408,4.550454898971045,1.4523517554792673,4.387209021677698,0.8956980350250519,4950,No maintenance recorded,0.042906352520939675,Supplier A lead time increased,0.9747329263145246,0.967509742902493,Compliant with ISO 9001
2023-01-04,1,102,A1,M2,P3,141,13.465514335521823,496,218,49,17.605434675898344,2.0994899393009523,4.084041951416312,3.2079092336380506,0.7296750499129236,5491,Routine maintenance,0.030003801014927778,Supplier A lead time increased,0.9722937692527917,0.9222488758662695,Compliant with ISO 9001
2023-01-05,1,101,A3,M2,P3,108,6.479963040919463,361,101,73,15.208314542958945,3.1030301521605375,4.128679119144557,3.7332428804149953,0.827676603189103,5293,No maintenance recorded,0.025929445542482152,Supplier A lead time increased,0.9614128085685881,0.940678237738154,Compliant with ISO 14001
2023-01-06,2,102,A2,M1,P1,142,6.5815765927259395,594,164,27,19.653183297063805,1.1804886127336953,2.325750027945937,3.266439686204646,0.7711634913532308,4747,Routine maintenance,0.03993896697191016,Supplier B bankruptcy risk,0.9191229985995991,0.9716569777719742,Compliant with OHSAS 18001
2023-01-07,1,103,A3,M2,P2,108,13.475881524168566,405,111,35,16.916312148255052,2.1774608649231784,2.6859723202608747,2.3450751996697665,0.7063463717602663,4686,Routine maintenance,0.043764087885448465,Supplier A lead time increased,0.9248665480658198,0.9423635183308129,Compliant with OHSAS 18001
2023-01-08,1,103,A3,M2,P3,87,11.940821732697474,344,126,55,11.58955655454463,1.637329865949392,4.468388310667558,4.389949583892518,0.7811160709921365,4514,No maintenance recorded,0.029653989223674654,Supplier B bankruptcy risk,0.9525391251317399,0.9627203342417643,Compliant with ISO 14001
2023-01-09,2,101,A2,M3,P3,115,13.770292273673626,306,213,29,12.775534616239023,3.4418211641686414,2.1776717833845436,3.2566124160135437,0.7072378784406114,4516,Routine maintenance,0.03720186461475213,Supplier B bankruptcy risk,0.9540414592606414,0.9118696597869247,Compliant with ISO 9001
2023-01-10,1,102,A2,M2,P3,50,19.657932898348054,499,223,79,19.990858153838683,1.9173086448334185,4.8031971620300045,1.6199947241226744,0.7876567941508003,4153,Routine maintenance,0.020312497347185217,Transportation strike affecting delivery,0.9317234498133296,0.9332859815180596,Compliant with OHSAS 18001
2023-01-11,1,101,A1,M2,P3,57,8.024385132773117,320,152,42,19.981150544414845,3.1545623385057464,4.5934663148638215,1.2099664343961631,0.7609444200428088,4338,Routine maintenance,0.03966784064542704,Supplier B bankruptcy risk,0.9008995920636439,0.9081490182558847,Compliant with OHSAS 18001
